Author,URL,Title,Abstract,Keywords,Citations,Affiliation,Year,PictureURL
Anders Sandberg,https://scholar.google.com/citations?user=aefVOM4AAAAJ,Defence in depth against human extinction  prevention  response  resilience  and why they all matter,We look at classifying extinction risks in three different ways  which affect how we can intervene to reduce risk  First  how does it start causing damage  Second  how does it reach the scale of a global catastrophe  Third  how does it reach everyone  In all of these three phases there is a defence layer that blocks most risks  First  we can prevent catastrophes from occurring  Second  we can respond to catastrophes before they reach a global scale  Third  humanity is resilient against extinction even in the face of global catastrophes  The largest probability of extinction is posed when all of these defences are weak  that is  by risks we are unlikely to prevent  unlikely to successfully respond to  and unlikely to be resilient against  We find that it s usually best to invest significantly into strengthening all three defence layers  We also suggest ways to do so tailored to the classes of risk we identify  Lastly  we discuss the importance of underlying risk factors   events or structural conditions that may weaken the defence layers even without posing a risk of immediate extinction themselves ,Human enhancement/Existential risk/Brain emulation/Emerging technologies/SETI,3802,Senior Research Fellow  Future of Humanity Institute  Oxford University,2020,https://scholar.google.com/citations?view_op=medium_photo&user=aefVOM4AAAAJ
Anders Sandberg,https://scholar.google.com/citations?user=aefVOM4AAAAJ,Defence in Depth Against Human Extinction  Prevention  Response  Resilience  and Why They All Matter, We look at classifying extinction risks in three different ways  which affect how we can intervene to reduce risk  First  how does it start causing damage  Second  how does it reach the scale of a global catastrophe  Third  how does it reach everyone  In all of these three phases there is a defence layer that blocks most risks  First  we can prevent catastrophes from occurring  Second  we can respond to catastrophes before they reach a global scale  Third  humanity is resilient against extinction even in the face of global catastrophes  The largest probability of extinction is posed when all of these defences are weak  that is  by risks we are unlikely to prevent  unlikely to successfully respond to  and unlikely to be resilient against  We find that it s usually best to invest significantly into strengthening all three defence layers  We also suggest ways to do so tailored to the classes of risk we identify  Lastly  we discuss the  ,Human enhancement/Existential risk/Brain emulation/Emerging technologies/SETI,3802,Senior Research Fellow  Future of Humanity Institute  Oxford University,2020,https://scholar.google.com/citations?view_op=medium_photo&user=aefVOM4AAAAJ
Anders Sandberg,https://scholar.google.com/citations?user=aefVOM4AAAAJ,error,error,Human enhancement/Existential risk/Brain emulation/Emerging technologies/SETI,3802,Senior Research Fellow  Future of Humanity Institute  Oxford University,2020,https://scholar.google.com/citations?view_op=medium_photo&user=aefVOM4AAAAJ
Anders Sandberg,https://scholar.google.com/citations?user=aefVOM4AAAAJ,Long term trajectories of human civilization,Purpose  div  div class  gsh csp  This paper aims to formalize long term trajectories of human civilization as a scientific and ethical field of study  The long term trajectory of human civilization can be defined as the path that human civilization takes during the entire future time period in which human civilization could continue to exist   div   div   div ,Human enhancement/Existential risk/Brain emulation/Emerging technologies/SETI,3802,Senior Research Fellow  Future of Humanity Institute  Oxford University,2019,https://scholar.google.com/citations?view_op=medium_photo&user=aefVOM4AAAAJ
Anders Sandberg,https://scholar.google.com/citations?user=aefVOM4AAAAJ,error,error,Human enhancement/Existential risk/Brain emulation/Emerging technologies/SETI,3802,Senior Research Fellow  Future of Humanity Institute  Oxford University,2019,https://scholar.google.com/citations?view_op=medium_photo&user=aefVOM4AAAAJ
Anders Sandberg,https://scholar.google.com/citations?user=aefVOM4AAAAJ,There is plenty of time at the bottom  The economics  risk and ethics of time compression, h  class  gsh h   Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h  Purpose  h   div class  gsh csp  The speed of computing and other automated processes plays an important role in how the world functions by causing  time compression   This paper aims to review reasons to believe computation will continue to become faster in the future  the economic consequences of speedups and how these affect risk  ethics and governance   div  h  class  gsh h   Design methodology approach  h   div class  gsh csp  A brief review of science and trends followed by an analysis of consequences   div  h  class  gsh h   Findings  h   div class  gsh csp  Current computation is far from the physical limits in terms of processing speed  Algorithmic improvements may be equally powerful but cannot easily be predicted or bounded  Communication and sensing is already at the physical speed limits  although improvements in bandwidth will likely be significant  The value in these speedups lies in productivity gains  timeliness  early arrival of results and cybernetic feedback shifts  However  time compression can lead    div   div   div ,Human enhancement/Existential risk/Brain emulation/Emerging technologies/SETI,3802,Senior Research Fellow  Future of Humanity Institute  Oxford University,2019,https://scholar.google.com/citations?view_op=medium_photo&user=aefVOM4AAAAJ
Anders Sandberg,https://scholar.google.com/citations?user=aefVOM4AAAAJ,Dissolving the Fermi paradox,The Fermi paradox is the conflict between an expectation of a high   em ex ante  probability of intelligent life elsewhere in the universe and the apparently lifeless universe we in fact observe  The expectation that the universe should be teeming with intelligent life is linked to models like the Drake equation  which suggest that even if the probability of intelligent life developing at a given site is small  the sheer multitude of possible sites should nonetheless yield a large number of potentially observable civilizations  We show that this conflict arises from the use of Drake like equations  which implicitly assume certainty regarding highly uncertain parameters  We examine these parameters  incorporating models of chemical and genetic transitions on paths to the origin of life  and show that extant scientific knowledge corresponds to uncertainties that span multiple orders of magnitude  This makes a stark difference  When the model is recast to represent realistic distributions of uncertainty  we find a substantial   em ex ante  probability of there being no other intelligent life in our observable universe  and thus that there should be little surprise when we fail to detect any signs of it  This result dissolves the Fermi paradox  and in doing so removes any need to invoke speculative mechanisms by which civilizations would inevitably fail to have observable effects upon the universe ,Human enhancement/Existential risk/Brain emulation/Emerging technologies/SETI,3802,Senior Research Fellow  Future of Humanity Institute  Oxford University,2018,https://scholar.google.com/citations?view_op=medium_photo&user=aefVOM4AAAAJ
Anders Sandberg,https://scholar.google.com/citations?user=aefVOM4AAAAJ,Hacking the brain  dimensions of cognitive enhancement,In an increasingly complex information society  demands for cognitive functioning are growing steadily  In recent years  numerous strategies to augment brain function have been proposed  Evidence for their efficacy  or lack thereof  and side effects has prompted discussions about ethical  societal  and medical implications  In the public debate  cognitive enhancement is often seen as a monolithic phenomenon  On a closer look  however  cognitive enhancement turns out to be a multifaceted concept  There is not one cognitive enhancer that augments brain function per se  but a great variety of interventions that can be clustered into biochemical  physical  and behavioral enhancement strategies  These cognitive enhancers differ in their mode of action  the cognitive domain they target  the time scale they work on  their availability and side effects  and how they differentially affect different groups of subjects  Here we  ,Human enhancement/Existential risk/Brain emulation/Emerging technologies/SETI,3802,Senior Research Fellow  Future of Humanity Institute  Oxford University,2018,https://scholar.google.com/citations?view_op=medium_photo&user=aefVOM4AAAAJ
Anders Sandberg,https://scholar.google.com/citations?user=aefVOM4AAAAJ,Brainjacking in deep brain stimulation and autonomy,  Brainjacking  refers to the exercise of unauthorized control of another s electronic brain implant  Whilst the possibility of hacking a Brain Computer Interface  BCI  has already been proven in both experimental and real life settings  there is reason to believe that it will soon be possible to interfere with the software settings of the Implanted Pulse Generators  IPGs  that play a central role in Deep Brain Stimulation  DBS  systems  Whilst brainjacking raises ethical concerns pertaining to privacy and physical or psychological harm  we claim that the possibility of brainjacking DBS raises particularly profound concerns about individual autonomy  since the possibility of hacking such devices raises the prospect of third parties exerting influence over the neural circuits underpinning the subject s cognitive  emotional and motivational states  However  although it seems natural to assume that brainjacking represents a  ,Human enhancement/Existential risk/Brain emulation/Emerging technologies/SETI,3802,Senior Research Fellow  Future of Humanity Institute  Oxford University,2018,https://scholar.google.com/citations?view_op=medium_photo&user=aefVOM4AAAAJ
Anders Sandberg,https://scholar.google.com/citations?user=aefVOM4AAAAJ,Human extinction from natural hazard events,PRINTED FROM the OXFORD RESEARCH ENCYCLOPEDIA  NATURAL HAZARD SCIENCE  oxfordre  com naturalhazardscience   c  Oxford University Press USA        All Rights Reserved  Personal use only  commercial use is strictly prohibited  for details see Privacy Policy and Legal Notice  ,Human enhancement/Existential risk/Brain emulation/Emerging technologies/SETI,3802,Senior Research Fellow  Future of Humanity Institute  Oxford University,2018,https://scholar.google.com/citations?view_op=medium_photo&user=aefVOM4AAAAJ
J. Craig Venter,https://scholar.google.com/citations?user=QlMHNn0AAAAJ,Typing and classification of non tuberculous mycobacteria isolates, h  class  gsh h   Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h  Background   h   div class  gsh csp    div  div  There are a large and growing number of non tuberculous mycobacteria  NTM  species that have been isolated  identified  and described in the literature  yet there are many clinical isolates which are not assignable to known species even when the genome has been sequenced  Additionally  a recent manuscript has proposed the reclassification  of the Mycobacterium genus into five distinct genera      div  h  class  gsh h   Methods   h   div class  gsh csp    div  div  We describe using a fast average nucleotide identity  ANI  approximation method  MASH  for classifying NTM genomes by comparison to a resource of type strain genomes and proxy genomes  We evaluate the genus reclassification proposal in light of our ANI  MLST  and pan genome work      div  h  class  gsh h   Results   h   div class  gsh csp    div  div  We describe here a sequencing study of hundreds of clinical NTM isolates  To aid in characterizing these isolates we defined a multi locus sequence typing  MLST  schema for NTMs which can differentiate strains at the species and subspecies level using eight ribosomal protein genes  We determined and deposited the allele profiles for       NTM and Mycobacterium tuberculosis complex strains in PubMLST      div  h  class  gsh h   Conclusions   h   div class  gsh csp    div  div  The MLST schema and our pan genome analysis of Mycobacteria can help inform the design of marker gene diagnostics  The ANI comparisons likewise can assist in the classification of unknown genomes  even from previously unknown species   div   div   div ,Pan-genome analysis/shotgun fragment assemly/prokaryotic genome annotation,84954,Professor of Informatics  J  Craig Venter Institute,2020,https://scholar.google.com/citations?view_op=medium_photo&user=QlMHNn0AAAAJ
J. Craig Venter,https://scholar.google.com/citations?user=QlMHNn0AAAAJ,InterPro in       improving coverage  classification and access to protein sequence annotations, The InterPro database  http   www ebi ac uk interpro   classifies protein sequences into families and predicts the presence of functionally important domains and sites  Here  we report recent developments with InterPro  version       and its associated software  including an     growth in the size of the database in terms on new InterPro entries  updates to content  the inclusion of an additional entry type  refined modelling of discontinuous domains  and the development of a new programmatic interface and website  These developments extend and enrich the information provided by InterPro  and provide greater flexibility in terms of data access  We also show that InterPro s sequence coverage has kept pace with the growth of UniProtKB  and discuss how our evaluation of residue coverage may help guide future curation activities ,Pan-genome analysis/shotgun fragment assemly/prokaryotic genome annotation,84954,Professor of Informatics  J  Craig Venter Institute,2019,https://scholar.google.com/citations?view_op=medium_photo&user=QlMHNn0AAAAJ
J. Craig Venter,https://scholar.google.com/citations?user=QlMHNn0AAAAJ,Ceftazidime Avibactam in Combination With Fosfomycin  A Novel Therapeutic Strategy Against Multidrug Resistant Pseudomonas aeruginosa,Multidrug resistant  MDR   i Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens Pseudomonas aeruginosa  i  is a serious public health threat  The ceftazidime avibactam fosfomycin combination possessed synergistic activity against MDR  i P  i    i aeruginosa  i   A murine infection model validated the efficacy of this combination for MDR  i P  i    i aeruginosa  i  infections with high bacterial burdens   div   div   div ,Pan-genome analysis/shotgun fragment assemly/prokaryotic genome annotation,84954,Professor of Informatics  J  Craig Venter Institute,2019,https://scholar.google.com/citations?view_op=medium_photo&user=QlMHNn0AAAAJ
J. Craig Venter,https://scholar.google.com/citations?user=QlMHNn0AAAAJ,Genome properties in       a new companion database to InterPro for the inference of complete functional attributes, Automatic annotation of protein function is routinely applied to newly sequenced genomes  While this provides a fine grained view of an organism s functional protein repertoire  proteins  more commonly function in a coordinated manner  such as in pathways or multimeric complexes  Genome Properties  GPs  define such functional entities as a series of steps  originally described by either TIGRFAMs or Pfam entries  To increase the scope of coverage  we have migrated GPs to function as a companion resource utilizing InterPro entries  Having introduced GPs specific versioned releases  we provide software and data via a GitHub repository  and have developed a new web interface to GPs  available at https   www ebi ac uk interpro genomeproperties   In addition to exploring each of the      GPs  the website contains GPs pre calculated for a representative set of proteomes  these results can be used to  ,Pan-genome analysis/shotgun fragment assemly/prokaryotic genome annotation,84954,Professor of Informatics  J  Craig Venter Institute,2019,https://scholar.google.com/citations?view_op=medium_photo&user=QlMHNn0AAAAJ
